model,record_type,epoch,val_mae,val_spearman,split,MAE,Spearman
"ESM2 650M, seed 2026, bs4 stopped",validation_history,34.0,0.9465,0.4461,validation,,
"ESM2 650M, seed 2026, bs4 stopped",validation_history,35.0,0.9331,0.4488,validation,,
"ESM2 650M, seed 2026, bs4 stopped",validation_history,36.0,0.9384,0.442,validation,,
"ESM2 650M, seed 2026, bs4 stopped",validation_history,37.0,0.957,0.4204,validation,,
"ESM2 650M, seed 2026, bs4 stopped",validation_history,38.0,0.9526,0.4289,validation,,
"ESM2 650M, seed 2026, bs4 stopped",validation_history,39.0,0.9588,0.4407,validation,,
"ESM2 650M, seed 2026, bs4 stopped",validation_history,40.0,0.9866,0.415,validation,,
"ESM2 650M, seed 2026, bs4 stopped",validation_history,41.0,0.9691,0.4095,validation,,
"ESM2 650M, seed 2026, bs4 stopped",validation_history,42.0,0.996,0.38,validation,,
"ESM2 650M, seed 2026, bs14 pilot",validation_snapshot,1.0,2.3289,-0.0054,validation,,
"ESM2 650M, seed 2026, bs14 pilot",validation_snapshot,5.0,1.049,0.236,validation,,
"ESM2 650M, seed 2026, bs14 pilot",validation_snapshot,10.0,1.0218,0.3468,validation,,
"ESM2 650M, seed 2026, bs14 pilot",validation_snapshot,15.0,1.0098,0.3978,validation,,
"ESM2 650M, seed 2026, bs14 pilot",validation_snapshot,20.0,0.9899,0.4501,validation,,
"ESM2 650M, seed 2026, bs14 pilot",validation_snapshot,25.0,0.991,0.4385,validation,,
ESM2 8M baseline,test_evaluation,,,,test,0.9523,0.3861
"ESM2 35M, seed 42",test_evaluation,,,,test,1.0287953747643366,0.431439104437351
"ESM2 150M, seed 42",test_evaluation,,,,test,0.9046999878353544,0.5221193184372611
"ESM2 150M, seed 123",test_evaluation,,,,test,0.8815,0.5532
