summary_type,group,seed,policy,n_seeds,MAE,RMSE,Spearman,pred_std_true_std,error_vs_true_Pearson,below_train_p10_MAE,above_train_p90_MAE,tail_MAE
std,tailaware_w2,,best_val_mae,3,0.008897301260994844,0.002857587587308406,0.0195846917501872,0.04812941640434402,0.02171259246658266,0.11908518681441557,0.11119280702069119,0.06900734356435954
mean,tailaware_w2,,best_val_spearman,3,0.9871226015933218,1.338074058039944,0.3800771278854271,0.44813182985131017,-0.8954177342882543,1.8087810178597767,2.0049347347683377,1.9068578763140573
std,tailaware_w2,,best_val_spearman,3,0.018135258081093848,0.019335483329179767,0.0109651393872241,0.05548835103322444,0.024905269432692476,0.27372883735560416,0.38684256346063356,0.05673601025217581
mean,tailaware_w2,,best_val_spread,3,0.9281201973939553,1.2802599202610836,0.46354158861464523,0.5889438288896668,-0.8165300208111734,1.400833547115326,1.8700711462232802,1.6354523466693032
std,tailaware_w2,,best_val_spread,3,0.0310647905607779,0.03655545920761521,0.03068335806541509,0.005896167691866396,0.006643071895454622,0.14356574972667616,0.08709568146105139,0.0634538959664231
mean,tailaware_w2,,best_val_tail_mae,3,0.9419625851503465,1.2801685405001633,0.455086993660927,0.5934587811031186,-0.813518577327829,1.639019509156545,1.6581411229239569,1.6485803160402508
std,tailaware_w2,,best_val_tail_mae,3,0.0019865278240212055,0.013668580498944536,0.008473542691736755,0.03498442173253644,0.022192784207299476,0.07544322313059644,0.12696296823734696,0.0373289785431544
mean,unweighted,,best_val_mae,3,0.9626626058181807,1.3100085704380688,0.3704311468776693,0.34569953995886654,-0.9380667264922073,1.8327608456214268,2.1502792172961764,1.991520031458802
std,unweighted,,best_val_mae,3,0.008337461045111108,0.005123216289363695,0.006432066574099233,0.03455492190726817,0.012828885164452545,0.12661069635666758,0.15594741890357497,0.015059920557958581
mean,unweighted,,best_val_spearman,3,0.9701142005431347,1.317212592757074,0.37187729472942793,0.34229701915244654,-0.9391998614101874,1.8036890625953674,2.193646881315443,1.9986679719554055
std,unweighted,,best_val_spearman,3,0.020068306827637057,0.01723966486883712,0.0039405170566410835,0.03835211478896808,0.014071646871694255,0.164894435348451,0.21201858286281097,0.023562093776863358
mean,unweighted,,best_val_spread,3,0.9051444584827477,1.2329828056335324,0.48935495311883376,0.5135844639176815,-0.8586628576950944,1.5336376925309498,1.8366038269466822,1.6851207597388165
std,unweighted,,best_val_spread,3,0.017596752946337474,0.021349508001655564,0.04140332791118669,0.029939395046792567,0.017901397405666604,0.03354686680044658,0.0681254317930601,0.05039301320223281
mean,unweighted,,best_val_tail_mae,3,0.922381231927464,1.2466467441783167,0.4749883858592216,0.5105710059823714,-0.8607852466998301,1.7708428005377452,1.6601349380281236,1.7154888692829342
std,unweighted,,best_val_tail_mae,3,0.009061102802668251,0.017700523988108393,0.018798058437929085,0.03446359038100518,0.019342645243744606,0.053649432750675186,0.14052094519777392,0.04597978943694257
